country,year,population,gdp,co2,co2_per_capita,coal_co2,gas_co2,methane,nitrous_oxide,oil_co2,primary_energy_consumption
Afghanistan,1980,13169313.0,15329836000.0,1.756,0.133,0.316,0.187,9.596,3.343,0.925,6.337
Afghanistan,1981,11937586.0,15645344000.0,1.978,0.166,0.333,0.304,9.605,3.314,1.015,7.29
Afghanistan,1982,10991380.0,15980410000.0,2.095,0.191,0.385,0.396,9.551,3.361,0.993,7.889
Afghanistan,1983,10917985.0,16755333000.0,2.52,0.231,0.385,0.616,9.082,3.165,1.22,9.882
Afghanistan,1984,11190222.0,17072153000.0,2.822,0.252,0.393,0.932,8.13,2.998,1.134,9.93
Afghanistan,1985,11426855.0,17108480000.0,3.501,0.306,0.4,1.192,7.383,2.787,1.548,9.63
Afghanistan,1986,11420074.0,17641344000.0,3.134,0.274,0.425,1.202,6.196,2.382,1.14,9.993
Afghanistan,1987,11387822.0,15810816000.0,3.114,0.273,0.443,0.392,6.533,2.586,2.013,16.93
Afghanistan,1988,11523299.0,14499069000.0,2.857,0.248,0.366,0.44,6.807,2.693,1.821,31.089
Afghanistan,1989,11874089.0,13489497000.0,2.765,0.233,0.337,0.48,6.64,2.677,1.865,30.509
Afghanistan,1990,12045664.0,13065984000.0,2.024,0.168,0.278,0.403,6.734,2.676,1.271,30.197
Afghanistan,1991,12238879.0,12047361847.0,1.914,0.156,0.25,0.389,7.022,2.75,1.204,12.497
Afghanistan,1992,13278983.0,12677539626.0,1.482,0.112,0.022,0.363,7.108,2.688,1.03,8.207
Afghanistan,1993,14943175.0,9834582315.0,1.487,0.1,0.018,0.352,7.199,2.727,1.048,8.155
Afghanistan,1994,16250800.0,7919856426.0,1.454,0.089,0.015,0.338,7.489,2.575,1.032,7.871
Afghanistan,1995,17065837.0,12307525468.0,1.417,0.083,0.015,0.322,7.899,2.686,1.011,6.596
Afghanistan,1996,17763266.0,12070125316.0,1.37,0.077,0.007,0.308,8.815,2.911,0.986,6.553
Afghanistan,1997,18452100.0,11850752863.0,1.304,0.071,0.004,0.282,9.593,3.197,0.949,6.296
Afghanistan,1998,19159996.0,11692171422.0,1.279,0.067,0.004,0.264,10.188,3.463,0.942,6.156
Afghanistan,1999,19887792.0,11517315926.0,1.092,0.055,0.004,0.242,11.064,3.71,0.777,6.15
Afghanistan,2000,20130334.0,11283794151.0,1.047,0.052,0.004,0.224,9.724,3.222,0.788,5.288
Afghanistan,2001,20284303.0,11021272927.0,1.069,0.053,0.07,0.209,8.387,2.853,0.762,3.649
Afghanistan,2002,21378123.0,18804871508.0,1.341,0.063,0.055,0.546,10.375,3.299,0.729,3.328
Afghanistan,2003,22733053.0,21074343420.0,1.56,0.069,0.092,0.465,10.687,3.434,0.993,3.968
Afghanistan,2004,23560656.0,22332570533.0,1.237,0.053,0.092,0.227,10.651,3.412,0.909,3.717
Afghanistan,2005,24404575.0,25397686814.0,1.89,0.077,0.106,0.33,10.901,3.561,1.447,5.014
Afghanistan,2006,25424100.0,28704399925.0,2.159,0.085,0.161,0.329,11.122,3.418,1.657,6.531
Afghanistan,2007,25909852.0,34507529735.0,2.8,0.108,0.747,0.308,11.452,3.366,1.733,7.758
Afghanistan,2008,26482631.0,36561043230.0,4.254,0.161,1.077,0.297,12.664,3.665,2.865,15.04
Afghanistan,2009,27466102.0,44358722212.0,6.388,0.233,1.513,0.271,13.006,3.968,4.591,25.258
Afghanistan,2010,28284088.0,47399425562.0,8.365,0.296,2.246,0.271,14.88,4.388,5.833,32.244
Afghanistan,2011,29347708.0,53326336000.0,11.41,0.389,3.749,0.308,15.341,4.523,7.338,41.391
Afghanistan,2012,30560036.0,59166900000.0,9.731,0.318,2.821,0.308,15.133,4.545,6.573,39.021
Afghanistan,2013,31622709.0,62993700000.0,8.891,0.281,2.97,0.297,15.176,4.559,5.589,31.869
Afghanistan,2014,32792528.0,64346106000.0,8.698,0.265,3.239,0.271,15.547,4.835,5.159,26.63
Afghanistan,2015,33831767.0,62783392000.0,9.384,0.277,2.439,0.282,14.822,4.813,6.622,30.954
Afghanistan,2016,34700613.0,64372217488.0,8.606,0.248,2.421,0.319,14.808,4.78,5.79,28.075
Afghanistan,2017,35688941.0,65169281649.0,9.311,0.261,2.893,0.3,14.78,4.983,6.073,36.517
Afghanistan,2018,36743040.0,65996738862.0,10.192,0.277,3.221,0.293,15.192,4.841,6.621,46.493
Afghanistan,2019,37856125.0,73085701943.0,10.4,0.275,3.273,0.246,15.216,4.598,6.843,47.112
Afghanistan,2020,39068977.0,71417706295.0,11.119,0.285,3.635,0.154,15.25,4.565,7.269,46.912
Afghanistan,2021,40000410.0,56638852656.0,9.869,0.247,2.993,0.158,15.433,4.433,6.701,47.569
Afghanistan,2022,40578847.0,53303471617.0,10.17,0.251,3.488,0.143,16.076,4.419,6.528,45.106
Albania,1980,2735424.0,9993752701.0,5.171,1.89,2.323,0.773,3.88,1.259,1.572,41.798
Albania,1981,2790413.0,10248711161.0,7.343,2.632,2.645,0.806,3.89,1.282,3.495,41.263
Albania,1982,2846910.0,10517106662.0,7.308,2.567,2.88,0.865,4.335,1.288,3.144,41.342
Albania,1983,2905128.0,10795983352.0,7.631,2.627,3.103,0.975,4.63,1.327,3.129,43.03
Albania,1984,2964961.0,11080088527.0,7.826,2.639,3.4,1.044,4.285,1.352,2.946,43.266
Albania,1985,3026245.0,11371456744.0,7.882,2.604,3.723,0.971,4.212,1.323,2.755,43.004
Albania,1986,3087658.0,11669745014.0,8.058,2.61,3.708,1.052,4.327,1.356,2.869,41.735
Albania,1987,3148843.0,11975300148.0,7.447,2.365,3.737,0.451,4.476,1.355,2.821,40.667
Albania,1988,3212924.0,12296424628.0,7.329,2.281,4.018,0.356,4.421,1.416,2.577,41.888
Albania,1989,3260369.0,12617018592.0,8.986,2.756,4.056,0.447,4.526,1.497,4.096,39.079
Albania,1990,3277965.0,12947849077.0,5.521,1.684,2.499,0.465,4.045,1.413,2.173,27.881
Albania,1991,3282608.0,9375856841.0,4.29,1.307,1.48,0.275,4.181,1.089,2.228,21.06
Albania,1992,3282506.0,8745674435.0,2.517,0.767,0.8,0.198,3.39,1.03,1.416,18.201
Albania,1993,3277831.0,9636341649.0,2.338,0.713,0.6,0.157,3.54,1.094,1.478,15.007
Albania,1994,3269417.0,10596114842.0,1.924,0.588,0.169,0.099,4.127,1.311,1.605,13.014
Albania,1995,3258573.0,11600732968.0,2.089,0.641,0.161,0.051,4.071,1.304,1.773,14.311
Albania,1996,3245680.0,12468867839.0,2.018,0.622,0.114,0.044,3.879,1.168,1.755,13.501
Albania,1997,3229665.0,11020137102.0,1.543,0.478,0.044,0.037,3.618,1.101,1.411,12.922
Albania,1998,3210134.0,12026242682.0,1.755,0.547,0.055,0.033,3.463,1.142,1.623,14.884
