country,year,population,gdp,co2,co2_per_capita,coal_co2,gas_co2,methane,nitrous_oxide,oil_co2,primary_energy_consumption
Africa,1925,159672951.0,,32.185,0.202,31.624,0.0,141.17,50.351,0.561,
Africa,1926,161662674.0,,34.438,0.213,33.903,0.0,143.229,52.015,0.535,
Africa,1927,163681990.0,,33.841,0.207,33.269,0.0,145.561,53.471,0.572,
Africa,1928,165731367.0,,34.77,0.21,33.815,0.0,147.491,54.638,0.828,
Africa,1929,167813287.0,,35.802,0.214,34.59,0.0,149.447,55.438,0.846,
Africa,1930,169928217.0,,33.696,0.199,32.555,0.0,150.971,55.794,0.88,
Africa,1931,172076932.0,,29.464,0.171,28.307,0.0,152.563,55.729,0.89,
Africa,1932,174259628.0,,26.623,0.153,25.355,0.0,154.368,55.372,0.835,
Africa,1933,176476818.0,,28.491,0.162,27.29,0.0,156.632,54.8,0.736,
Africa,1934,178726971.0,,32.539,0.182,31.324,0.0,159.04,54.094,0.682,
Africa,1935,181010603.0,,35.91,0.199,34.743,0.0,161.42,53.329,0.557,
Africa,1936,183328236.0,,39.016,0.213,37.765,0.0,165.238,52.585,0.561,
Africa,1937,185680386.0,,41.844,0.226,40.582,0.0,169.372,51.94,0.535,
Africa,1938,188067589.0,,44.013,0.234,42.56,0.0,173.541,51.472,0.703,
Africa,1939,190609541.0,,46.853,0.246,43.957,0.11,179.279,51.259,2.056,
Africa,1940,193310936.0,,49.649,0.257,46.039,0.092,183.331,51.379,2.865,
Africa,1941,196179605.0,,54.023,0.276,49.442,0.099,188.313,56.1,3.763,
Africa,1942,199217448.0,,58.823,0.296,54.304,0.106,193.554,68.387,3.642,
Africa,1943,202429522.0,,60.12,0.297,55.237,0.117,198.445,86.363,3.957,
Africa,1944,205701844.0,,66.633,0.324,61.371,0.131,204.059,108.152,4.162,
Africa,1945,209035596.0,,67.527,0.323,62.303,0.136,208.811,131.878,4.151,
Africa,1946,212431972.0,,68.159,0.321,62.938,0.135,213.85,155.665,3.942,
Africa,1947,215892204.0,,67.935,0.315,62.415,0.136,218.385,177.635,4.104,
Africa,1948,219417536.0,,71.733,0.327,64.359,0.139,224.184,195.914,5.811,
